name,location_id,website
Ile de France,778011,http://iledefrance.com.br
Yu Cozinha Oriental,778040,http://www.yurestaurante.com.br
Mangiare Felice,804043,http://www.mangiarefelice.com.br
Armazém Santo Antônio,886902,http://armazemsantoantonio.com.br/
Lellis Trattoria - Curitiba,886934,http://lellis.com.br/
Barolo Trattoria,886946,http://www.barolotrattoria.com.br/curitiba
Mercearia Bresser,886951,http://www.merceariabresser.com.br
Restaurantes Victor,886954,http://restaurantesvictor.com.br/
Mustang Sally,886958,https://mustangsally.com.br/restaurante/1/shopping-novo-batel
A Pamphylia,886994,http://apamphylia.com.br
Curitiba Café,27248841,https://www.facebook.com/185738108204762
Fingen Café,7214004,http://www.facebook.com/fingencafe
Restaurante São Francisco,4524526,https://www.facebook.com/100540564943822
Souq Curitiba,15795056,http://souqcuritiba.com.br/
Los Mex - Curitiba,27248667,
A Landerna Curitiba,2325423,http://www.alandernacuritiba.com.br
Churrascaria Nativas Grill Curitiba,24060963,
Pobre Juan,5893032,http://www.pobrejuan.com.br
Santo Grão - Curitiba,6700050,http://www.santograo.com.br
Jamie's Italian Curitiba,13081300,http://jamiesitalian.com.br
Eating Bear Curitiba,25402917,http://eatingbear.com
Hard Rock Cafe,8117000,https://cafe.hardrock.com/curitiba/#utm_source=rest_of_network&utm_medium=Yext&utm_campaign=Listings
Cafe do Mercado,6030592,http://www.cafemercado.com.br/index.php
Lucca Cafés Especiais,5695365,http://www.facebook.com/cafesespeciais/
La Cecília - Cantina & Café,16830274,https://www.facebook.com/pages/category/Restaurant/La-Cec%C3%ADlia-Cantina-Caf%C3%A9-290169431651020/
Cafe do Paco,7787591,http://www.sescpr.com.br/unidades/sesc-paco-da-liberdade/
Café do Viajante,11655673,http://www.cafedoviajante.com.br
Café Municipal,9984421,http://www.facebook.com/cafemunicipalcuritiba/
Dizzy Café Concerto,7384930,https://www.facebook.com/DizzyCuritiba
Restaurante Nonna Giovanna,5398400,http://www.facebook.com/pages/Restaurante-Nonna-Giovanna/303843843002470
Cantina Sao Francisco,5696719,
Nomade Restaurant,8505849,http://nomaa.com.br/gastronomia/#nomade-restaurante
Restaurante Oriente Árabe,4748131,http://www.orientearabe.com.br
Restaurante Château de Gazon,2392619,http://www.chateaugazon.com.br
Ibérico Restaurante,6414440,http://fastget.app/ibericogastronomia
Restaurante Sal Grosso,4525792,https://www.facebook.com/Restaurante-Sal-Grosso-220095068085521/
Budega Bar E Restaurante,27273968,https://linktr.ee/budega_barerestaurante
Restaurante Imperial,4527186,http://www.restauranteimperial.info
Madero Prime Steakhouse,1798697,https://www.restaurantemadero.com.br/pt/restaurante/pr/curitiba/madero-prime-steak-house-pt#ver-info
Tuba'S Bar E Restaurante,4535848,http://www.tubasbar.com.br
Bar do Alemão,1833360,http://www.bardoalemaocuritiba.com.br
Bar e Restaurante Getúlio,8452962,
Avenida Paulista Pizza Bar,1104266,http://www.avenidapaulistapizzabar.com.br
Bar E Restaurante Chimarrao,6012482,
Bar E Restaurante Arthur,6172784,
Catchall Bar E Restaurante,7863297,
Jacobina Bar & Restaurante,2722310,http://jacobinabar.com.br/
Bar e Restaurante Tartaruga,5397781,http://www.bartartaruga.com
Restaurante Imperial Palace,7343109,http://www.nexerz.com/br/
Imperial Da China,6166224,http://restauranteimperialdachina.com
Bar Pote Chopp,4523837,http://www.potechopp.com.br
Carolla Pizza D.O.C. Batel,3803056,http://www.carollapizzadoc.com.br/
Restaurante Manu,2325705,http://www.restaurantemanu.com.br
Quintana Gastronomia,2325756,http://quintanagastronomia.com.br
Restaurante Igor,13808438,http://www.restauranteigor.com.br
Restaurante Maru,4438018,http://www.restaurantemaru.com.br
Tomilho Limão Gastronomia,27265682,
Yang Gastronomia Asiática,15199408,
Au Au O Dogao,5671469,
Zapata La Taqueria – Shopping Curitiba,19938665,http://zapatabrasil.com.br/
Dedo de moça eventos e Gastronomia,15037714,http://www.facebook.com/dedodemocaeventoss/
Batalha Gastronomia,25096079,https://www.instagram.com/batalhagastronomia/
Enjoy Gastronomia,14998697,http://www.facebook.com/Enjoycuritiba/
Marbô Gastronomia de Origem,8410196,https://www.facebook.com/MarboBakery/
B4 Food Gastronomia,27211249,https://www.facebook.com/746631308796469
Oliva Gastronomia,10662380,http://olivagastronomia.wix.com/olivagastronomia
Vallentina Cozinha Tradicional,6384176,http://guia.gazetadopovo.com.br/bares/vallentina/728/
Ver-o-peso Da Amazônia,27273753,https://www.facebook.com/109961877562252
Dom Antonio,2325642,http://www.domantonio.com.br
Osteria da Paz,12402645,http://www.familiascopel.com.br
Confeitaria das Familias,4551819,http://www.confeitariafamilia.com.br
Casa Das Massas,4529527,
Kibe Da Boca,5718508,https://www.facebook.com/103970213147054
Hora da Pizza,5996412,http://www.horadapizza.com
Dali da Esquina,6004356,http://www.facebook.com/DalidaEsquina
Cafe Da Esquina,7790312,http://cafedaesquina.com.br/index.html
Gruta Da Garoupa,5347653,
Costelão Alto Da Xv,4531670,http://pt-br.facebook.com/pages/Costel%C3%A3o-Alto-da-XV/162708800455422
Bar Palácio,2325585,https://www.facebook.com/159069967489352
Palácio Belvedere,28020858,
Kan,1013116,http://restaurantekan.com.br/
Taj Bar,3264609,http://tajbar.com.br
Maneko's Bar,5964325,http://www.obagastronomia.com.br/manekos-bar-um-senhor-boteco
Bar Stuart,4172718,http://www.instagram.com/barstuart_oficial/
Bar Mignon,5684993,https://www.facebook.com/153578148590889
Diô Wine Bar,15688316,http://www.facebook.com/bastaummotivo/
Cartolas Sport Bar,7264633,http://restaurants.accor.com/fr/restaurant-0634_R001-ibis-kitchen-restaurant-gentilly.shtml
O Tradicional Bar,27889074,https://www.facebook.com/104869965314131
Puina's Bar,4935486,https://instadelivery.com.br/puinasbar
Baggio Pizzeria & Focacceria - Champagnat,1013117,https://pizzariabaggio.com.br/unidades-baggio/champagnat/
Petiscaria do Victor - Santa Felicidade,4534712,http://www.restaurantesvictor.com.br
Abafa O Caso Esmalteria Bar & Café,27764361,https://www.facebook.com/459849501442712
Restaurante Toscana,4535695,http://restaurantetoscana.com.br/
Silzeu's Boteco Futebol e Gastronomia,8337484,http://www.facebook.com/SilzeusBFG/
